time,calanoids,rotifers,nanophytoplankton,picophytoplankton
1252.9,1.05012,0.55086,0.20973,0.17795
1256.25,0.98993,0.33091,0.23945,0.66469
1259.6,0.9563,0.31215,0.37393,0.80394
1262.95,1.0201,0.27015,0.30023,1.01198
1266.3,1.12868,0.24697,0.24898,1.35895
1269.65,1.13653,0.17717,0.24975,1.40963
1273,1.06021,0.17243,0.36752,1.21143
1276.35,1.19577,0.35334,0.52653,1.16141
1279.7,1.13434,0.55803,0.67813,1.14395
1283.05,0.96982,0.72751,0.68874,1.08106
1286.4,1.07309,1.04242,0.67036,0.93086
1289.75,1.16448,1.12841,0.61457,0.63333
1293.1,1.14085,0.84205,0.48059,0.68459
1296.45,1.13156,0.36864,0.47909,0.91874
1299.8,1.09648,0.2407,0.43008,0.97813
1303.15,0.9127,0.15618,0.48812,0.79086
1306.5,0.76858,0.30214,0.49012,0.71773
1309.85,0.84799,0.40644,0.299,0.83018
1313.2,0.74385,0.41423,0.39957,0.69506
1316.55,0.74164,0.78309,0.4899,0.41738
1319.9,0.8526,1.19785,0.34637,0.41178
1323.25,0.55649,1.25062,0.17106,0.39702
1326.6,0.79851,1.11212,0.05615,0.18302
1329.95,0.62253,1.18655,0.54264,0.41912
1333.3,0.70806,1.22862,0.28969,0.22375
1336.65,0.91738,1.48908,0.30095,0.15127
1340,0.77689,1.49058,0.34804,0.15127
1343.35,0.87382,1.33543,0.2874,0.08912
1346.7,0.71783,1.23367,0.19977,0
1350.05,0.59782,1.15043,0.20223,0
1353.4,0.58646,1.04158,0.24493,0
1356.75,0.35306,1.04253,0.25128,0
1360.1,0.39509,1.23965,0.60226,0
1363.45,0.4533,1.41621,0.69011,0
1366.8,0.43691,1.39853,0.44188,0
1370.15,0.42154,1.20774,0.43058,0
1373.5,0.49175,1.00356,0.4646,0
1376.85,0.4956,0.75487,0.27288,0.14104
1380.2,0.5315,0.75044,0.22227,0.76992
1383.55,0.65563,0.66468,0.24072,0.99744
